id,latitude,longitude,name,type,pm25,color,url,label,approx
3822,42.190296,-121.73137,[AirNow] Klamath Falls - Pete (PM2.5=39.9),OpenAQ (3235),1,004400,https://openaq.org/,[OpenAQ] ,40
3823,60.395927,5.312674,[Norway] Klosterhaugen (PM2.5=3.414211),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3824,28.47272,77.482,[caaqm] Knowledge Park - III- Greater Noida - UPPCB (PM2.5=54),OpenAQ (3235),2,004400,https://openaq.org/,[OpenAQ] ,50
3825,40.48135,-86.10972,[AirNow] Kokomo - E. Vaile Av (PM2.5=5.9),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3826,53.3304,6.27681,[Netherlands] Kollumerwaard-Hooge Zuidwal (PM2.5=1.6097),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3827,19.5097,-155.9133,[AirNow] Kona (PM2.5=4),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3828,49.573395,15.080278,[EEA Czech Republic] Kosetice (PM2.5=14),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3829,59.43347,10.661762,[Norway] Kransen (PM2.5=3.4955),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3830,51.34256,6.670195,[EEA Germany] Krefeld (Hafen) (PM2.5=9.09),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3831,22.357222,114.12972,[Hong Kong] Kwai Chung (PM2.5=28.8),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,30
3832,22.313334,114.224724,[Hong Kong] Kwun Tong (PM2.5=25.4),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,30
3833,46.656715,-0.7436811,[EEA France] LA TARDIERE (PM2.5=12.4),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3834,43.7781,-91.225,[AirNow] LACROSSE DOT (PM2.5=25.6),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,30
3835,40.0439,-76.1125,[AirNow] LAN1 (PM2.5=5),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3836,40.0467,-76.2833,[AirNow] LANC (PM2.5=2.3),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3837,42.76138,-84.56287,[AirNow] LANSING FILLEY ST (PM2.5=14.8),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3838,35.1158,-87.47,[AirNow] LAWRENCE (PM2.5=8),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3839,33.5453,-86.5492,[AirNow] LEEDS (PM2.5=7),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3840,35.9889,-77.5867,[AirNow] LEGGETT (PM2.5=8),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3841,47.264107,-2.2498577,[EEA France] LEON BLUM (PM2.5=15.63),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
3842,39.303055,-94.37639,[AirNow] LIBERTY (PM2.5=9.1),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3843,40.812557,-96.675735,[AirNow] LLCHD BAM (PM2.5=5),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3844,35.7197,-84.3417,[AirNow] LOUDONMS (PM2.5=6),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3845,54.71528,25.289444,[EEA Lithuania] LT00003 (PM2.5=0),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3846,55.69,21.17946,[EEA Lithuania] LT00033 (PM2.5=0),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3847,54.895126,23.986221,[EEA Lithuania] LT00041 (PM2.5=0),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3848,54.883614,23.835835,[EEA Lithuania] LT00044 (PM2.5=0),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3849,49.59769,6.13759,[EEA Luxemburg] LU0101A (PM2.5=4),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3850,49.50504,5.97694,[EEA Luxemburg] LU0102A (PM2.5=12),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3851,49.72226,6.30533,[EEA Luxemburg] LU0105A (PM2.5=6.5),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3852,49.61157,6.11847,[EEA Luxemburg] LU0109A (PM2.5=8),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3853,35.8142,-80.2633,[AirNow] LWATTOWR (PM2.5=6.2),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3854,42.4747,-70.9719,[AirNow] LYNN (PM2.5=6),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3855,39.7794,-105.00523,[AirNow] La Casa NCORE - 4545 (PM2.5=12.3),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3856,48.645008,-0.45833305,[EEA France] La Coulonche MERA (PM2.5=7.05),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
